rowId,parentDocId,prodId,price,qty,catId,plusInsurance,carNo,prodPriceRowId,prodStockRowId,insurancePrice,accessoriesHelmet,accessoriesRaincoat,accessoriesHelmetFull,fromVoltage,toVoltage,fromSoc,toSoc
2749,17104739277770042,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
2750,17104739345070761,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2751,17104739414970943,16124993747740688,650,1,3,0,EMD-8107,89,99,0,1,1,0,,,,
2752,17104740920080319,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
2753,17104740993050443,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2754,17104741077450993,16124993747740688,650,1,3,0,EMD-8107,89,99,0,1,1,0,,,,
2755,17104742594100787,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
2756,17104742676370986,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2757,17104742750920016,16124993747740688,650,1,3,0,EMD-8107,89,99,0,1,1,0,,,,
2758,17104744309030059,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
2759,17104744383430472,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2760,17104744457970663,16124993747740688,650,1,3,0,EMD-8107,89,99,0,1,1,0,,,,
2761,17104745962850859,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
2762,17104746031070282,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2763,17104746109040610,16124993747740688,650,1,3,0,EMD-8107,89,99,0,1,1,0,,,,
2764,17104747696520902,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
2765,17104747764370599,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2766,17104747848490088,16124993747740688,650,1,3,0,EMD-8107,89,99,0,1,1,0,,,,
2767,17104749342740433,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
2768,17104749417200658,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2769,17104749490990511,16124993747740688,650,1,3,0,EMD-8107,89,99,0,1,1,0,,,,
2770,17104751052730921,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
2771,17104751121510861,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2772,17104751193690444,16124993747740688,650,1,3,0,EMD-8107,89,99,0,1,1,0,,,,
2773,17104753464240255,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
2774,17104753543730034,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2775,17104753616890712,16124993747740688,650,1,3,0,EMD-8107,89,99,0,1,1,0,,,,
2776,17104755195160291,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
2777,17104755266230934,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2778,17104755347700574,16124993747740688,650,1,3,0,EMD-8107,89,99,0,1,1,0,,,,
2779,17104758269660392,16124993747740688,650,1,3,0,EMD-8107,89,99,0,1,1,0,,,,
2780,17104758920320339,16124993747740688,650,1,3,0,EMD-8107,89,99,0,1,1,0,,,,
2781,17104759547870297,16124993747740688,650,1,3,0,EMD-8107,89,99,0,1,1,0,,,,
